"Starting.Month","Name","Type","Sum.of.24.Annual.Avg.Hours"
"4/1/2017 0:00","27th Street","HV","3,315.00"
"5/1/2017 0:00","27th Street","HV","3,333.00"
"5/1/2017 0:00","27th Street","ML","48,589.00"
"5/1/2017 0:00","27th Street","OR","6,636.00"
"6/1/2017 0:00","27th Street","ML","48,670.00"
"6/1/2017 0:00","27th Street","OR","6,675.00"
"6/1/2017 0:00","27th Street","HV","3,367.00"
"7/1/2017 0:00","27th Street","HV","3,394.00"
"7/1/2017 0:00","27th Street","ML","48,730.00"
"7/1/2017 0:00","27th Street","OR","6,700.00"
"8/1/2017 0:00","27th Street","HV","3,412.00"
"8/1/2017 0:00","27th Street","OR","6,708.00"
"8/1/2017 0:00","27th Street","ML","48,645.00"
"9/1/2017 0:00","27th Street","OR","6,749.00"
"9/1/2017 0:00","27th Street","ML","48,470.00"
"9/1/2017 0:00","27th Street","HV","3,429.00"
"10/1/2017 0:00","27th Street","ML","48,323.00"
"10/1/2017 0:00","27th Street","HV","3,455.00"
"10/1/2017 0:00","27th Street","OR","6,769.00"
"11/1/2017 0:00","27th Street","HV","3,486.00"
"11/1/2017 0:00","27th Street","OR","6,793.00"
"11/1/2017 0:00","27th Street","ML","48,211.00"
"12/1/2017 0:00","27th Street","HV","3,512.00"
"12/1/2017 0:00","27th Street","ML","48,037.00"
"12/1/2017 0:00","27th Street","OR","6,809.00"
"1/1/2018 0:00","27th Street","OR","6,831.00"
"1/1/2018 0:00","27th Street","ML","47,894.00"
"1/1/2018 0:00","27th Street","HV","3,534.00"
"2/1/2018 0:00","27th Street","OR","6,838.00"
"2/1/2018 0:00","27th Street","ML","47,710.00"
"2/1/2018 0:00","27th Street","HV","3,548.00"
"3/1/2018 0:00","27th Street","ML","47,371.00"
"3/1/2018 0:00","27th Street","OR","6,833.00"
"3/1/2018 0:00","27th Street","HV","3,542.00"
"4/1/2018 0:00","27th Street","HV","3,549.00"
"4/1/2018 0:00","27th Street","ML","47,186.00"
"4/1/2018 0:00","27th Street","OR","6,843.00"
"5/1/2018 0:00","27th Street","ML","47,120.00"
"5/1/2018 0:00","27th Street","HV","3,565.00"
"5/1/2018 0:00","27th Street","OR","6,868.00"
"6/1/2018 0:00","27th Street","OR","6,872.00"
"6/1/2018 0:00","27th Street","ML","46,923.00"
"6/1/2018 0:00","27th Street","HV","3,559.00"
"7/1/2018 0:00","27th Street","ML","46,729.00"
"7/1/2018 0:00","27th Street","OR","6,890.00"
"7/1/2018 0:00","27th Street","HV","3,564.00"
"8/1/2018 0:00","27th Street","HV","3,580.00"
"8/1/2018 0:00","27th Street","ML","46,898.00"
"8/1/2018 0:00","27th Street","OR","6,933.00"
"9/1/2018 0:00","27th Street","HV","3,599.00"
"9/1/2018 0:00","27th Street","OR","6,950.00"
"9/1/2018 0:00","27th Street","ML","47,060.00"
"10/1/2018 0:00","27th Street","OR","6,987.00"
"10/1/2018 0:00","27th Street","HV","3,613.00"
"10/1/2018 0:00","27th Street","ML","47,278.00"
"11/1/2018 0:00","27th Street","ML","47,332.00"
"11/1/2018 0:00","27th Street","HV","3,620.00"
"11/1/2018 0:00","27th Street","OR","7,011.00"
"12/1/2018 0:00","27th Street","OR","7,021.00"
"12/1/2018 0:00","27th Street","HV","3,615.00"
"12/1/2018 0:00","27th Street","ML","47,302.00"
"1/1/2019 0:00","27th Street","ML","47,405.00"
"1/1/2019 0:00","27th Street","HV","3,618.00"
"1/1/2019 0:00","27th Street","OR","7,049.00"
"2/1/2019 0:00","27th Street","HV","3,634.00"
"2/1/2019 0:00","27th Street","ML","47,538.00"
"2/1/2019 0:00","27th Street","OR","7,079.00"
"3/1/2019 0:00","27th Street","ML","47,716.00"
"3/1/2019 0:00","27th Street","HV","3,661.00"
"3/1/2019 0:00","27th Street","OR","7,086.00"
"4/1/2019 0:00","27th Street","HV","3,646.00"
"4/1/2019 0:00","27th Street","ML","47,753.00"
"4/1/2019 0:00","27th Street","OR","7,099.00"
"5/1/2019 0:00","27th Street","HV","3,526.00"
"5/1/2019 0:00","27th Street","ML","46,888.00"
"5/1/2019 0:00","27th Street","OR","6,950.00"
"6/1/2019 0:00","27th Street","HV","3,378.00"
"6/1/2019 0:00","27th Street","ML","45,905.00"
"6/1/2019 0:00","27th Street","OR","6,746.00"
"2/1/2018 0:00","27th Street","ML","32,426.00"
"3/1/2018 0:00","27th Street","ML","32,623.00"
"4/1/2018 0:00","27th Street","ML","33,322.00"
"5/1/2018 0:00","27th Street","ML","33,953.00"
"6/1/2018 0:00","27th Street","ML","34,118.00"
"7/1/2018 0:00","27th Street","ML","34,200.00"
"8/1/2018 0:00","27th Street","ML","34,213.00"
"9/1/2018 0:00","27th Street","ML","34,260.00"
"10/1/2018 0:00","27th Street","ML","34,318.00"
"11/1/2018 0:00","27th Street","ML","34,449.00"
"12/1/2018 0:00","27th Street","ML","34,449.00"
"1/1/2019 0:00","27th Street","ML","34,314.00"
"2/1/2019 0:00","27th Street","ML","34,363.00"
"3/1/2019 0:00","27th Street","ML","34,496.00"
"4/1/2019 0:00","27th Street","ML","34,289.00"
"5/1/2019 0:00","27th Street","ML","34,135.00"
"6/1/2019 0:00","27th Street","ML","33,538.00"
